img_id,turn_index,source_img,target_img,instruction
357424,3,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/357424-output2.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/357424-output3.png,let the bears sit on a leather couch
161386,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/161386-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/161386-output1.png,Put a large monitor on the center of the desk.
104326,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/104326-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/104326-output1.png,Let's add a man in the kitchen.
65905,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/65905-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/65905-output1.png,let the asparagus be replaced with sausages
65905,2,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/65905-output1.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/65905-output2.png,let there be a cup of yogurt
65905,3,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/65905-output2.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/65905-output3.png,let the table have a checkered table cloth
334328,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/334328-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/334328-output1.png,Spill milk onto the floor.
294080,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/294080-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/294080-output1.png,Change the carrots to cucumbers
294080,2,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/294080-output1.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/294080-output2.png,Change the color of the broth to yellow
540097,1,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/540097-input.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/540097-output1.png,remove things on the table
540097,2,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/540097-output1.png,/home/jovyan/BA/Github/MagicBrush/train-00001-of-00051-7fc041c6c75c7a1b/540097-output2.png,let the lights be yellow
