id,turn,semantic_category,instruction_type,visual_impact,object_type
360871,1,Object Replacement,Interrogative,Subtle Edit,Food
360871,2,Object Addition,Imperative,Subtle Edit,Furniture/Objects
147745,1,Object Addition,Imperative,Subtle Edit,Background/Scene
289514,1,Object Replacement,Imperative,Moderate Edit,Furniture/Objects
289514,2,Object Replacement,Interrogative,Moderate Edit,People
289514,3,Object Addition,Interrogative,Moderate Edit,Food
571790,1,Object Replacement,Imperative,Moderate Edit,Vehicles
544519,1,Object Replacement,Declarative,Subtle Edit,Food
81971,1,Attribute Changes,Imperative,Subtle Edit,People
565269,1,Object Addition,Imperative,Moderate Edit,Background/Scene
565269,2,Object Addition,Imperative,Moderate Edit,People
565269,3,Object Addition,Imperative,Moderate Edit,Vehicles
393243,1,Attribute Changes,Interrogative,Moderate Edit,People
573453,1,Scene Changes,Imperative,Moderate Edit,Background/Scene
178572,1,Object Addition,Imperative,Subtle Edit,People
3131,1,Object Replacement,Imperative,Subtle Edit,Furniture/Objects
3131,2,Attribute Changes,Imperative,Subtle Edit,Furniture/Objects
3131,3,Object Replacement,Imperative,Moderate Edit,Food
256884,1,Object Replacement,Imperative,Moderate Edit,Furniture/Objects
256884,2,Object Removal,Imperative,Subtle Edit,Furniture/Objects
329847,1,Object Addition,Imperative,Subtle Edit,People
329847,2,Object Removal,Imperative,Moderate Edit,Furniture/Objects
329847,3,Object Replacement,Imperative,Moderate Edit,People
393226,1,Object Addition,Imperative,Moderate Edit,People
393226,2,Object Replacement,Imperative,Moderate Edit,Vehicles
393226,3,Object Addition,Imperative,Moderate Edit,Animals
450129,1,Object Replacement,Interrogative,Moderate Edit,Food
450129,2,Object Addition,Imperative,Subtle Edit,Food
450129,3,Object Addition,Interrogative,Moderate Edit,Food
463066,1,Attribute Changes,Imperative,Subtle Edit,Animals
43425,1,Object Replacement,Imperative,Moderate Edit,Animals
43425,2,Object Removal,Imperative,Moderate Edit,Animals
43425,3,Object Addition,Imperative,Subtle Edit,Animals
142985,1,Attribute Changes,Imperative,Subtle Edit,People
423391,1,Object Addition,Imperative,Moderate Edit,Animals
393372,1,Color Changes,Imperative,Moderate Edit,People
82679,1,Object Addition,Imperative,Moderate Edit,Animals
353915,1,Object Addition,Imperative,Moderate Edit,People
178928,1,Object Replacement,Imperative,Drastic Edit,Furniture/Objects
178928,2,Object Addition,Imperative,Subtle Edit,People
140043,1,Object Replacement,Imperative,Subtle Edit,Food
10546,1,Object Addition,Imperative,Moderate Edit,Animals
209923,1,Attribute Changes,Imperative,Moderate Edit,Furniture/Objects
209923,2,Object Replacement,Imperative,Moderate Edit,Background/Scene
209923,3,Object Addition,Imperative,Subtle Edit,Furniture/Objects
282572,1,Object Addition,Imperative,Moderate Edit,Animals
282572,2,Object Removal,Imperative,Moderate Edit,Furniture/Objects
282572,3,Object Addition,Imperative,Moderate Edit,People
422328,1,Object Addition,Imperative,Moderate Edit,Animals
422328,2,Attribute Changes,Imperative,Subtle Edit,Animals
422328,3,Attribute Changes,Imperative,Subtle Edit,Animals
104304,1,Attribute Changes,Imperative,Moderate Edit,People
104304,2,Attribute Changes,Imperative,Subtle Edit,People
104304,3,Object Addition,Imperative,Moderate Edit,Furniture/Objects
371643,1,Object Replacement,Imperative,Moderate Edit,Food
371643,2,Object Addition,Imperative,Moderate Edit,Food
371643,3,Scene Changes,Imperative,Moderate Edit,Background/Scene
354126,1,Object Replacement,Imperative,Moderate Edit,Furniture/Objects
354126,2,Object Addition,Imperative,Subtle Edit,Animals
354126,3,Object Addition,Imperative,Subtle Edit,Animals
423935,1,Attribute Changes,Imperative,Subtle Edit,Furniture/Objects
423935,2,Object Addition,Imperative,Moderate Edit,Furniture/Objects
122927,1,Object Addition,Imperative,Moderate Edit,Animals
122927,2,Object Addition,Imperative,Moderate Edit,Background/Scene
122927,3,Object Addition,Imperative,Subtle Edit,Animals
532493,1,Color Changes,Imperative,Subtle Edit,Furniture/Objects
532493,2,Color Changes,Imperative,Subtle Edit,People
532493,3,Color Changes,Imperative,Subtle Edit,Clothing
24629,1,Attribute Changes,Imperative,Subtle Edit,Background/Scene
235802,1,Object Replacement,Imperative,Moderate Edit,Vehicles
235802,2,Scene Changes,Imperative,Drastic Edit,Background/Scene
458804,1,Object Replacement,Imperative,Moderate Edit,Furniture/Objects
102171,1,Color Changes,Imperative,Moderate Edit,Furniture/Objects
181699,1,Object Replacement,Imperative,Moderate Edit,Food
181699,2,Object Addition,Imperative,Moderate Edit,People
181699,3,Object Addition,Imperative,Moderate Edit,Objects
188612,1,Object Addition,Imperative,Subtle Edit,Animals
466845,1,Object Replacement,Imperative,Subtle Edit,Furniture/Objects
337180,1,Object Replacement,Imperative,Subtle Edit,Animals
337180,2,Color Changes,Imperative,Subtle Edit,Animals
337180,3,Scene Changes,Imperative,Moderate Edit,Background/Scene
58268,1,Object Removal,Imperative,Subtle Edit,Furniture/Objects
58268,2,Object Removal,Imperative,Subtle Edit,Furniture/Objects
58268,3,Object Removal,Imperative,Moderate Edit,People
2585,1,Attribute Changes,Imperative,Subtle Edit,People
2585,2,Attribute Changes,Imperative,Subtle Edit,People
2585,3,Object Addition,Imperative,Subtle Edit,Food
490317,1,Attribute Changes,Imperative,Subtle Edit,Furniture/Objects
125106,1,Object Replacement,Imperative,Moderate Edit,Food
125106,2,Object Addition,Imperative,Subtle Edit,Animals
125106,3,Object Addition,Imperative,Moderate Edit,Food
382564,1,Object Removal,Imperative,Subtle Edit,Animals
382564,2,Object Addition,Imperative,Moderate Edit,Furniture/Objects
100558,1,Object Removal,Imperative,Subtle Edit,Furniture/Objects
57350,1,Object Addition,Imperative,Subtle Edit,Animals
57350,2,Object Addition,Imperative,Subtle Edit,Animals
572804,1,Object Addition,Imperative,Subtle Edit,Animals
572804,2,Attribute Changes,Imperative,Moderate Edit,Furniture/Objects
572804,3,Object Replacement,Imperative,Drastic Edit,Vehicles
480489,1,Object Replacement,Imperative,Moderate Edit,Furniture/Objects
480489,2,Scene Changes,Imperative,Drastic Edit,Background/Scene
86582,1,Object Addition,Imperative,Subtle Edit,Animals
86582,2,Object Addition,Imperative,Moderate Edit,Animals
86582,3,Object Addition,Imperative,Subtle Edit,Animals
178403,1,Color Changes,Imperative,Subtle Edit,Food
178403,2,Object Removal,Imperative,Moderate Edit,Furniture/Objects
178403,3,Color Changes,Imperative,Moderate Edit,Food
11091,1,Attribute Changes,Imperative,Subtle Edit,People
106772,1,Object Addition,Interrogative,Moderate Edit,Furniture/Objects
106772,2,Object Addition,Interrogative,Subtle Edit,Clothing
362944,1,Color Changes,Imperative,Moderate Edit,Vehicles
362944,2,Object Replacement,Imperative,Moderate Edit,Furniture/Objects
492077,1,Object Addition,Imperative,Subtle Edit,Furniture/Objects
332877,1,Object Replacement,Imperative,Moderate Edit,Background/Scene
550349,1,Object Removal,Imperative,Moderate Edit,People
550349,2,Object Addition,Imperative,Subtle Edit,Furniture/Objects
532810,1,Object Addition,Imperative,Moderate Edit,Animals
272405,1,Object Replacement,Imperative,Moderate Edit,Background/Scene
272405,2,Object Replacement,Imperative,Moderate Edit,Background/Scene
272405,3,Object Addition,Imperative,Moderate Edit,Vehicles
392837,1,Color Changes,Imperative,Subtle Edit,Furniture/Objects
392837,2,Object Removal,Imperative,Subtle Edit,Background/Scene
392837,3,Object Addition,Imperative,Moderate Edit,Animals
531495,1,Object Addition,Imperative,Moderate Edit,Vehicles
531495,2,Object Addition,Imperative,Moderate Edit,Vehicles
205344,1,Attribute Changes,Imperative,Subtle Edit,People
205344,2,Object Addition,Imperative,Subtle Edit,Furniture/Objects
70952,1,Attribute Changes,Imperative,Subtle Edit,People
70952,2,Color Changes,Imperative,Moderate Edit,People
70952,3,Object Addition,Imperative,Subtle Edit,People
259097,1,Color Changes,Imperative,Subtle Edit,People
259097,2,Object Removal,Imperative,Subtle Edit,Furniture/Objects
259097,3,Color Changes,Imperative,Moderate Edit,Background/Scene
172537,1,Object Removal,Imperative,Moderate Edit,Background/Scene
172537,2,Object Replacement,Imperative,Subtle Edit,Background/Scene
172537,3,Object Addition,Imperative,Moderate Edit,People
142585,1,Color Changes,Imperative,Moderate Edit,Vehicles
273560,1,Object Addition,Imperative,Moderate Edit,Food
273560,2,Object Addition,Imperative,Subtle Edit,Furniture/Objects
273560,3,Object Removal,Imperative,Moderate Edit,Food
308192,1,Object Addition,Imperative,Subtle Edit,Furniture/Objects
308192,2,Object Removal,Imperative,Moderate Edit,Furniture/Objects
102625,1,Object Addition,Imperative,Subtle Edit,Background/Scene
102625,2,Object Replacement,Imperative,Moderate Edit,Background/Scene
102625,3,Color Changes,Imperative,Moderate Edit,Furniture/Objects
25989,1,Object Replacement,Imperative,Moderate Edit,Furniture/Objects
25989,2,Object Addition,Imperative,Moderate Edit,Animals
25989,3,Object Addition,Imperative,Subtle Edit,Furniture/Objects
291861,1,Object Replacement,Imperative,Moderate Edit,Animals
311326,1,Object Replacement,Imperative,Moderate Edit,Food
336015,1,Object Replacement,Imperative,Moderate Edit,Clothing/Equipment
336015,2,Object Replacement,Imperative,Moderate Edit,Background/Scene
336015,3,Object Addition,Imperative,Moderate Edit,Animals
153639,1,Object Replacement,Imperative,Subtle Edit,Furniture/Objects
153639,2,Object Replacement,Imperative,Moderate Edit,Food
153639,3,Object Addition,Imperative,Subtle Edit,People
184384,1,Object Addition,Imperative,Subtle Edit,Food
509416,1,Object Replacement,Imperative,Subtle Edit,Food
292451,1,Object Replacement,Imperative,Moderate Edit,Vehicles
292451,2,Object Addition,Imperative,Moderate Edit,Animals
292451,3,Object Replacement,Imperative,Moderate Edit,Background/Scene
219590,1,Object Addition,Imperative,Subtle Edit,Food
219590,2,Object Removal,Imperative,Subtle Edit,Food
67269,1,Object Replacement,Imperative,Moderate Edit,Vehicles
67269,2,Object Replacement,Imperative,Moderate Edit,Furniture/Objects
333551,1,Attribute Changes,Imperative,Moderate Edit,Furniture/Objects
333551,2,Scene Changes,Imperative,Moderate Edit,Background/Scene
333551,3,Object Addition,Imperative,Moderate Edit,Furniture/Objects
501972,1,Object Replacement,Imperative,Drastic Edit,Vehicles
501972,2,Object Addition,Imperative,Moderate Edit,People
501972,3,Object Addition,Imperative,Moderate Edit,Background/Scene
221222,1,Object Addition,Imperative,Moderate Edit,Animals
365258,1,Object Addition,Imperative,Moderate Edit,Food
365258,2,Object Removal,Imperative,Moderate Edit,Food
465545,1,Object Addition,Imperative,Subtle Edit,Furniture/Objects
581668,1,Object Addition,Imperative,Subtle Edit,Food
109776,1,Object Replacement,Imperative,Moderate Edit,Furniture/Objects
109776,2,Object Removal,Imperative,Moderate Edit,Furniture/Objects
357903,1,Object Removal,Imperative,Moderate Edit,Food
357903,2,Object Replacement,Imperative,Moderate Edit,Food
108871,1,Object Replacement,Imperative,Moderate Edit,Animals
108871,2,Object Replacement,Imperative,Moderate Edit,Furniture/Objects
194956,1,Color Changes,Imperative,Moderate Edit,Vehicles
194956,2,Object Addition,Imperative,Subtle Edit,Animals
194956,3,Object Addition,Imperative,Subtle Edit,Furniture/Objects
520480,1,Object Addition,Imperative,Subtle Edit,Food
574250,1,Object Removal,Imperative,Subtle Edit,Furniture/Objects
450597,1,Attribute Changes,Imperative,Drastic Edit,People
450597,2,Object Addition,Imperative,Moderate Edit,Animals
450597,3,Object Addition,Imperative,Moderate Edit,Background/Scene
267300,1,Object Addition,Imperative,Moderate Edit,Food
267300,2,Attribute Changes,Imperative,Subtle Edit,Animals
270650,1,Object Addition,Imperative,Moderate Edit,Vehicles
215135,1,Object Addition,Imperative,Moderate Edit,Background/Scene
215135,2,Object Addition,Imperative,Moderate Edit,Furniture/Objects
215135,3,Object Addition,Imperative,Moderate Edit,Furniture/Objects
417814,1,Object Replacement,Imperative,Moderate Edit,Background/Scene
452122,1,Object Addition,Imperative,Moderate Edit,Vehicles
544114,1,Object Removal,Imperative,Moderate Edit,Animals
544114,2,Object Addition,Interrogative,Moderate Edit,Background/Scene
544114,3,Object Addition,Imperative,Moderate Edit,Animals
98385,1,Object Replacement,Imperative,Subtle Edit,Food
98385,2,Object Replacement,Imperative,Moderate Edit,Food
98385,3,Object Addition,Imperative,Subtle Edit,Food
540816,1,Attribute Changes,Imperative,Moderate Edit,Vehicles
356888,1,Object Replacement,Imperative,Moderate Edit,Furniture/Objects
356888,2,Object Replacement,Imperative,Moderate Edit,Furniture/Objects
356888,3,Object Addition,Imperative,Moderate Edit,Animals
266961,1,Object Addition,Imperative,Moderate Edit,Background/Scene
266961,2,Object Addition,Imperative,Moderate Edit,Background/Scene
266961,3,Color Changes,Imperative,Subtle Edit,Furniture/Objects
853,1,Object Addition,Imperative,Moderate Edit,Food
853,2,Object Addition,Imperative,Subtle Edit,Furniture/Objects
853,3,Object Replacement,Imperative,Subtle Edit,Furniture/Objects
145741,1,Object Addition,Imperative,Subtle Edit,Animals
459272,1,Color Changes,Imperative,Moderate Edit,Clothing
459272,2,Attribute Changes,Imperative,Subtle Edit,People
459272,3,Attribute Changes,Imperative,Moderate Edit,People
510027,1,Object Replacement,Imperative,Moderate Edit,Food
510027,2,Object Replacement,Imperative,Moderate Edit,Food
510027,3,Object Replacement,Imperative,Moderate Edit,Food
121612,1,Object Addition,Imperative,Subtle Edit,Furniture/Objects
206622,1,Object Removal,Imperative,Moderate Edit,Vehicles
206622,2,Object Replacement,Imperative,Moderate Edit,Furniture/Objects
206622,3,Object Addition,Imperative,Subtle Edit,Animals
177572,1,Object Addition,Imperative,Moderate Edit,Objects
177572,2,Object Addition,Imperative,Moderate Edit,Furniture/Objects
317806,1,Object Addition,Imperative,Subtle Edit,Furniture/Objects
317806,2,Object Addition,Imperative,Subtle Edit,Animals
392687,1,Object Replacement,Imperative,Moderate Edit,Vehicles
392687,2,Attribute Changes,Imperative,Moderate Edit,Background/Scene
392687,3,Attribute Changes,Imperative,Moderate Edit,People
313345,1,Object Replacement,Imperative,Drastic Edit,Background/Scene
313345,2,Object Addition,Imperative,Moderate Edit,Animals
422921,1,Object Replacement,Imperative,Drastic Edit,Furniture/Objects
422921,2,Object Replacement,Imperative,Drastic Edit,Furniture/Objects
422921,3,Color Changes,Imperative,Moderate Edit,Furniture/Objects
